# D3DDevice struct field offsets for Jet Set Radio Future (US), XDK D3D8 build 4134.
# Produced 2026-09-21. Every value below was DERIVED FROM THIS TITLE'S OWN default.xbe.
# No value is copied from another XDK version.
#
# XBE: ~/Library/Mobile Documents/com~apple~CloudDocs/Jet Set Radio Future/Jet Set Radio Future (US)/default.xbe
# Device pointer global: D3D8__D3D_g_pDevice = 0x0019DCE0 (the device struct address is *that*).
# All offsets are byte offsets from the start of the D3DDevice struct.
#
# METHOD codes
#   xbsdb-patched   XbSymbolDatabase CLI, locally patched (see ~/jsrf-build/xbsymboldatabase-d3ddevice-offsets.patch);
#                   the library's own OOVPA signature scan derived the value out of this XBE.
#   xbsdb-stock     Emitted by the stock, unpatched XbSymbolDatabase CLI (run of 20 Sep 2026).
#   disasm          Hand disassembly of this XBE (capstone, x86-32) at a named D3D8 function.
#   xref-replay     XbSymbolDatabase's own XREF_ENTRY byte offset applied by hand to this XBE:
#                   read the little-endian dword at (function address + XREF_ENTRY offset).
#
field	offset	dec	method	confidence	evidence
D3DDevice.m_Pusher.m_pPut (write cursor)	0x0000	0	disasm	certain	D3D_SetFence 0x00191397 mov eax,[esi]; cmp eax,[esi+4]; D3D_MakeRequestedSpace_8 stores back at 0x001915F7 mov [esi],ecx
D3DDevice.m_Pusher.m_pLimit	0x0004	4	disasm	certain	D3D_SetFence 0x00191399 cmp eax,[esi+4] gates the MakeSpace call
D3DDevice.m_Flags/state word	0x0008	8	disasm	high	CDevice_KickOff 0x001912A5 test [ecx+8],0x2000/0x20; SetRenderTarget 0x0018D317 or ecx,0x8000; MakeRequestedSpace 0x0019153A test byte [esi+8],4
D3DDevice.m_PushBufferStart (ring low)	0x0024	36	disasm	certain	D3D_MakeRequestedSpace_8 0x00191583/0x001915DD/0x001915E3 cmp+reload of [esi+0x24]; wrap JUMP is built from it
D3DDevice.m_PushBufferEnd (ring high)	0x0028	40	disasm	certain	D3D_MakeRequestedSpace_8 0x00191593/0x001915AC cmp against [esi+0x28]
D3DDevice.m_SubmittedPut (KickOff shadow)	0x002C	44	disasm	high	CDevice_KickOff 0x00191305 mov [edx+0x2c],ecx immediately after writing ecx&0x3FFFFFF to the channel DMA_PUT
D3DDevice.m_Fence (semaphore COUNTER)	0x0030	48	disasm	certain	D3D_SetFence 0x001913AD reads [esi+0x30] as the NV097 0x1D70 release payload, then 0x00191420 add 2 / store back; SetTexture 0x0018DF33 copies it into pResource->Lock
D3DDevice.m_pFenceWord (POINTER to semaphore)	0x0034	52	disasm	certain	D3D_BlockOnTime 0x0019144C mov eax,[edi+0x34]; mov ecx,[eax] -- dereferenced, so it is a pointer
D3DDevice.m_PixelShader	0x0370	880	xbsdb-patched; disasm; xref-replay	certain	CLI prints D3D8__D3DDevice__m_PixelShader_OFFSET = 0x00000370; D3DDevice_SetPixelShader 0x00199BEE/0x00199BF4 load+store [ebx+0x370]; 4034 OOVPA XREF_ENTRY(0x10) on SetPixelShader@0x00199BE0 reads 0x370
D3DDevice.m_VertexShader	0x0380	896	xbsdb-stock; disasm	certain	Stock CLI already printed 0x00000380; D3DDevice_SetVertexShader 0x001904A1 mov eax,[esi+0x380]
